period,location,plantStateDescription,plant,plantName,rank,coalRankDescription,ash-content,heat-content,price,quantity,sulfur-content,ash-content-units,heat-content-units,price-units,quantity-units,sulfur-content-units
2022,KYE,Kentucky (East),8848,Ceredo,TOT,All,13.0,11550,57.98,4735,1.04,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),8846,Conemaugh Fuels LLC,BIT,Bituminous,8.92,12789,48.655,2175066,2.57,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6768,Sikeston Power Station,TOT,All,4.8,9003,39.33,965688,0.51,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6761,Rawhide,TOT,All,5.29,8922,29.45,1107094,0.23,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,UT,Utah,6165,Hunter,BIT,Bituminous,10.19,11430,41.61,2573090,0.6,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6139,Welsh,SUB,Subbituminous,4.57,8705,36.42,2677450,0.22,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6138,Flint Creek,SUB,Subbituminous,4.62,8740,31.49,1641129,0.23,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,6137,A B Brown,TOT,All,8.09,11473,52.53,1449395,3.38,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,2277,Sheldon,SUB,Subbituminous,4.39,8676,26.41,658091,0.28,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6098,Big Stone,SUB,Subbituminous,5.18,8249,34.5,1299430,0.33,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,MT,Montana,3845,Transalta Centralia Generation,TOT,All,8.23,8532,38.095,2433840,0.39,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,MT,Montana,6090,Sherburne County,SUB,Subbituminous,6.21,8829,41.69,5753255,0.33,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,MT,Montana,6076,Colstrip,TOT,All,9.1,8595,136.245,6707910,0.71,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVS,West Virginia (Southern),628,Crystal River,BIT,Bituminous,8.25,11518,230.8,396129,2.09,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,MT,Montana,1893,Clay Boswell,TOT,All,5.15,8879,39.09,3439390,0.33,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,3399,Cumberland (TN),TOT,All,9.29,11900,90.34,1885352,2.44,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6071,Trimble County,TOT,All,8.55,11008,51.28,3817991,2.49,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYW,Kentucky (West),3399,Cumberland (TN),TOT,All,9.29,11900,90.34,1885352,2.44,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVS,West Virginia (Southern),3399,Cumberland (TN),BIT,Bituminous,9.29,11900,90.34,1885352,2.44,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,6071,Trimble County,BIT,Bituminous,9.26,11546,52.49,3059758,3.01,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),3948,Mitchell (WV),TOT,All,10.79,12379,61.3,1752299,2.71,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),564,Stanton Energy Center,TOT,All,8.34,11898,99.55,1475507,2.66,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,564,Stanton Energy Center,BIT,Bituminous,8.34,11898,99.55,1475507,2.66,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,1745,Trenton Channel,SUB,Subbituminous,4.38,8987,42.14,63078,0.22,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,1733,Monroe (MI),SUB,Subbituminous,5.03,8883,45.49,5547491,0.27,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,NM,New Mexico,160,Apache Station,TOT,All,10.65,8994,53.83,647582,0.66,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,160,Apache Station,SUB,Subbituminous,10.65,8994,53.83,647582,0.66,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,CO,Colorado,1702,Dan E Karn,TOT,All,4.84,9015,45.31,1705353,0.24,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,CO,Colorado,1702,Dan E Karn,BIT,Bituminous,10.6,11346,99.05,13102,0.51,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYE,Kentucky (East),3396,Bull Run,BIT,Bituminous,7.89,12102,116.35,497359,1.23,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),3298,Williams,TOT,All,10.09,12551,103.83,803635,0.88,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVS,West Virginia (Southern),3297,Wateree,TOT,All,9.44,12681,98.66,805934,1.47,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),2721,James E. Rogers Energy Complex,TOT,All,7.96,12276,99.3,352707,2.39,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),2721,James E. Rogers Energy Complex,TOT,All,7.96,12276,99.3,352707,2.39,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVS,West Virginia (Southern),2712,Roxboro,BIT,Bituminous,8.97,12790,85.07,2177374,1.9,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,NM,New Mexico,2442,Four Corners,SUB,Subbituminous,19.08,9196,68.02,5482374,0.79,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),2364,Merrimack,BIT,Bituminous,7.65,13120,71.9225,175564,2.83,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),2364,Merrimack,BIT,Bituminous,7.65,13120,75.82499999999999,175564,2.83,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,298,Limestone,SUB,Subbituminous,5.08,8331,79.72749999999999,4927687,0.31,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,OH,Ohio,130,Cross,BIT,Bituminous,9.03,12381,83.63,3443308,2.32,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,26,E C Gaston,TOT,All,12.92,11417,139.57,894942,1.19,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,AL,Alabama,26,E C Gaston,BIT,Bituminous,12.92,11417,139.57,894942,1.19,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,1379,Shawnee,SUB,Subbituminous,5.03,8962,34.03,3400873,0.22,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,1379,Shawnee,TOT,All,5.03,8962,34.03,3400873,0.22,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYW,Kentucky (West),1364,Mill Creek (KY),TOT,All,10.79,11630,51.04,3323257,3.1,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,6019,W H Zimmer,BIT,Bituminous,8.6,12520,58.120000000000005,1194247,3.18,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),6018,East Bend,TOT,All,8.99,12126,65.2,1249739,3.11,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6017,Newton,TOT,All,4.56,8739,86.265,2389312,0.24,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),703,Bowen,TOT,All,8.72,11829,107.33,3530959,2.33,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,703,Bowen,BIT,Bituminous,8.72,11829,107.33,3530959,2.33,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),3122,Homer City Generating Station,BIT,Bituminous,10.32,12471,148.48666666666668,1429304,2.48,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),3122,Homer City Generating Station,BIT,Bituminous,10.32,12471,189.64333333333335,1429304,2.48,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYE,Kentucky (East),628,Crystal River,TOT,All,8.25,11518,230.8,396129,2.09,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,1091,George Neal North,TOT,All,4.9,8897,34.59,661744,0.22,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYW,Kentucky (West),1012,F B Culley,TOT,All,8.61,11359,54.15,467428,3.29,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,6004,Pleasants Power Station,BIT,Bituminous,9.57,12535,65.26,3112541,4.32,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,6249,Winyah,TOT,All,8.92,12180,76.37,1137541,2.64,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,2832,Miami Fort,BIT,Bituminous,9.09,11894,65.548,2626490,3.67,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),2832,Miami Fort,BIT,Bituminous,9.09,11894,54.726000000000006,2626490,3.67,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,OH,Ohio,2828,Cardinal,TOT,All,9.43,12574,43.90400000000001,4132723,3.51,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),2828,Cardinal,BIT,Bituminous,9.43,12574,33.08200000000001,4132723,3.51,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,ND,North Dakota,2817,Leland Olds,LIG,Lignite,10.09,6606,22.26,3123245,0.82,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,994,AES Petersburg,TOT,All,8.23,11373,52.62,4150345,2.7,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,983,Clifty Creek,TOT,All,8.46,10975,59.4,3301940,2.49,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,889,Baldwin Energy Complex,SUB,Subbituminous,4.54,8579,67.885,3600293,0.26,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYE,Kentucky (East),6249,Winyah,BIT,Bituminous,8.92,12180,76.37,1137541,2.64,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,6249,Winyah,BIT,Bituminous,8.92,12180,76.37,1137541,2.64,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6248,Pawnee,TOT,All,5.09,8351,23.35,1788973,0.32,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6194,Tolk,SUB,Subbituminous,5.22,8848,36.22,1380591,0.29,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,6190,Brame Energy Center,TOT,All,5.15,9159,58.04,1662742,0.54,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,TX,Texas,6180,Oak Grove (TX),LIG,Lignite,16.04,6800,65.485,9624970,0.95,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,MD,Maryland,3954,Mt Storm,TOT,All,10.82,12689,72.93,1860838,1.99,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),2727,Marshall (NC),BIT,Bituminous,9.8,12548,107.46,1275223,1.56,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,884,Will County,TOT,All,5.26,8938,83.91,92959,0.22,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,883,Waukegan,SUB,Subbituminous,4.9,8988,60.36,451934,0.21,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6664,Louisa,SUB,Subbituminous,4.96,8890,36.81,1631005,0.25,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,UT,Utah,8224,North Valmy,BIT,Bituminous,8.89,11163,70.46,544967,0.46,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,50835,TES Filer City Station,TOT,All,7.63,12027,69.52666666666666,168357,1.48,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,50835,TES Filer City Station,BIT,Bituminous,7.63,12027,68.59333333333333,168357,1.48,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,8224,North Valmy,SUB,Subbituminous,9.47,9657,67.66,381854,0.41,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,NM,New Mexico,8223,Springerville,SUB,Subbituminous,9.45,9036,49.32,4479061,0.53,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,TX,Texas,7902,Pirkey,LIG,Lignite,16.34,6623,55.65,2363543,0.71,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,7343,George Neal South,SUB,Subbituminous,4.82,8935,34.18,404846,0.21,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,ND,North Dakota,8222,Coyote,LIG,Lignite,7.92,7107,28.56,1848835,0.74,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,VA,Virginia,7213,Clover,TOT,All,9.44,12630,136.14,349977,1.03,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),10566,Chambers Cogeneration LP,BIT,Bituminous,7.19,12920,103.13333333333333,121654,1.45,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),10043,Logan Generating Plant,BIT,Bituminous,7.16,12926,70.12666666666667,62301,1.12,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,8899,Four Rivers Terminal,TOT,All,6.54,9964,37.12,439404,1.12,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,56564,John W Turk Jr Power Plant,SUB,Subbituminous,4.67,8786,40.65,1957035,0.21,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6772,Hugo,TOT,All,4.79,8649,34.91,503743,0.27,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,CO,Colorado,6165,Hunter,BIT,Bituminous,10.19,11430,41.61,2573090,0.6,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,UT,Utah,6113,Gibson,BIT,Bituminous,9.42,11325,65.14,4448943,2.54,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,MT,Montana,6090,Sherburne County,TOT,All,6.21,8829,41.69,5753255,0.33,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,6085,R M Schahfer,TOT,All,8.53,11040,84.56,1371277,2.9,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6077,Gerald Gentleman,SUB,Subbituminous,4.97,8591,18.98,4302409,0.26,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,OH,Ohio,6071,Trimble County,TOT,All,8.55,11008,51.28,3817991,2.49,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,2104,Meramec,SUB,Subbituminous,4.26,9048,32.29,64498,0.19,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,1893,Clay Boswell,SUB,Subbituminous,5.15,8879,39.09,3439390,0.33,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,3407,Kingston,BIT,Bituminous,9.08,12046,64.71,774329,2.92,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYW,Kentucky (West),3407,Kingston,BIT,Bituminous,9.08,12046,64.71,774329,2.92,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYW,Kentucky (West),3399,Cumberland (TN),BIT,Bituminous,9.29,11900,90.34,1885352,2.44,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,6071,Trimble County,BIT,Bituminous,9.26,11546,52.49,3059758,3.01,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYW,Kentucky (West),6071,Trimble County,BIT,Bituminous,9.26,11546,52.49,3059758,3.01,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6064,Nearman Creek,SUB,Subbituminous,5.2,8518,32.25,785702,0.31,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),2721,James E. Rogers Energy Complex,BIT,Bituminous,7.96,12276,99.3,352707,2.39,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,MT,Montana,6177,Coronado,TOT,All,4.7,9032,55.07,1857591,0.24,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYE,Kentucky (East),602,Brandon Shores,BIT,Bituminous,7.92,13042,41.105000000000004,886274,2.57,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,470,Comanche (CO),TOT,All,4.72,8790,27.14,3102233,0.25,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,NM,New Mexico,160,Apache Station,SUB,Subbituminous,10.65,8994,53.83,647582,0.66,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),1573,Morgantown Generating Plant,BIT,Bituminous,7.78,13087,49.3625,273563,2.37,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),1573,Morgantown Generating Plant,BIT,Bituminous,7.78,13087,44.894999999999996,273563,2.37,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYE,Kentucky (East),1554,Herbert A Wagner,TOT,All,10.68,12263,40.4275,38115,0.91,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,1393,R S Nelson,SUB,Subbituminous,4.64,8863,35.96,1401206,0.22,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,6052,Wansley,TOT,All,8.51,11834,83.47,126878,2.68,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,CO,Colorado,6021,Craig (CO),SUB,Subbituminous,8.12,9879,49.13,3109514,0.43,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),2364,Merrimack,TOT,All,7.65,13120,38.68,175564,2.83,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,108,Holcomb,SUB,Subbituminous,5.21,8749,28.23,988052,0.27,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYE,Kentucky (East),3297,Wateree,TOT,All,9.44,12681,98.66,805934,1.47,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),3149,TalenEnergy Montour,TOT,All,7.66,13057,86.41666666666666,201880,2.27,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),3140,Brunner Island,BIT,Bituminous,7.96,13084,74.17333333333333,716415,2.67,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYW,Kentucky (West),6041,H L Spurlock,BIT,Bituminous,10.78,11480,61.93,4305591,3.18,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVN,West Virginia (Northern),3122,Homer City Generating Station,TOT,All,10.32,12471,53.403333333333336,1429304,2.48,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),6019,W H Zimmer,BIT,Bituminous,8.6,12520,44.876666666666665,1194247,3.18,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,2963,Northeastern,SUB,Subbituminous,4.69,8856,36.35,1412181,0.22,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,856,E D Edwards,TOT,All,4.8,8800,30.705,1532917,0.2,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,2291,North Omaha,SUB,Subbituminous,4.88,8551,25.06,1018486,0.27,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,PAB,Pennsylvania (Bituminous),703,Bowen,BIT,Bituminous,8.72,11829,107.33,3530959,2.33,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,OVR,Overseas,667,Northside Generating Station,BIT,Bituminous,5.27,10849,148.11,263786,0.49,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYE,Kentucky (East),663,Deerhaven Generating Station,TOT,All,9.05,12529,165.56,27127,1.11,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,645,Big Bend,BIT,Bituminous,8.21,11159,68.85,571314,2.88,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,2952,Muskogee,TOT,All,5.24,8922,56.94,771058,0.23,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYW,Kentucky (West),2876,Kyger Creek,TOT,All,9.44,12525,70.51,1916093,3.47,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,OH,Ohio,2866,W H Sammis,BIT,Bituminous,8.76,12768,150.65500000000003,2029291,3.9,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVS,West Virginia (Southern),628,Crystal River,TOT,All,8.25,11518,230.8,396129,2.09,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,KYE,Kentucky (East),628,Crystal River,BIT,Bituminous,8.25,11518,230.8,396129,2.09,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,OH,Ohio,6264,Mountaineer,BIT,Bituminous,9.2,12453,67.41,2092044,3.27,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,1167,Muscatine Plant #1,SUB,Subbituminous,4.82,8310,35.15,773283,0.27,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,1012,F B Culley,BIT,Bituminous,8.61,11359,54.15,467428,3.29,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,6009,White Bluff,SUB,Subbituminous,4.74,8873,44.37,3401942,0.22,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WVS,West Virginia (Southern),6250,Mayo,TOT,All,9.09,12808,76.76,475663,2.09,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,2836,Avon Lake,TOT,All,5.79,9959,75.702,113650,0.46,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,2836,Avon Lake,SUB,Subbituminous,4.97,8776,74.644,58542,0.44,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,OH,Ohio,2832,Miami Fort,BIT,Bituminous,9.09,11894,73.586,2626490,3.67,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,2832,Miami Fort,BIT,Bituminous,9.09,11894,72.528,2626490,3.67,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,MT,Montana,4271,John P Madgett,BIT,Bituminous,6.2,10160,71.47,62401,0.49,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,1001,Cayuga,TOT,All,9.3,11031,62.24,2019922,2.63,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IN,Indiana,1001,Cayuga,BIT,Bituminous,9.3,11031,62.24,2019922,2.63,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,WY,Wyoming,997,Michigan City,TOT,All,5.32,9259,39.04,785728,0.53,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,ND,North Dakota,2817,Leland Olds,TOT,All,10.09,6606,22.26,3123245,0.82,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
2022,IL,Illinois,963,Dallman,BIT,Bituminous,9.01,10608,40.26,610537,3.12,percent by weight,Btu per pound,average dollars per ton,tons,percent by weight
